ID,Title,Author,Hardcover,Paperback,NOOK_Book,Audiobook,ISBN_13_DUMMY,ISBN_13,Series,Publisher,Publication_Date,Sales_rank,Pages,Product_dimensions
1412,Canon EOS Rebel T3i / 600D: From Snapshots to Great Shots,Jeff Revell,,$19.80 ,$11.99 ,,9.78032E+12,978-0321776648,From Snapshots to Great Shots Series,Peachpit Press,,"606,864",290,7.40(w) x 9.00(h) x 0.60(d)
1413,Special Edition Using Microsoft Office Excel 2007,Bill Jelen,, ,$18.49 ,,9.78079E+12,978-0789736116,Special Edition Using Series,Que,,"325,906",1080,7.00(w) x 9.00(h) x 2.00(d)
1414,Expert Oracle RAC 12c,Syed Jaffar Hussain# Tariq Farooq# Riyaj Shamsudeen# Kai Yu,,,,,9.78143E+12,978-1430250449,,Apress,,"325,918",464,7.30(w) x 9.20(h) x 1.00(d)
1415,Digital Systems Design Using VHDL / Edition 2,Jr.# Charles H. Roth# Lizy K. John# Lizy Kurian John,,,,,9.78053E+12,978-0534384623,,CL Engineering,,"326,050",592,8.30(w) x 9.30(h) x 1.20(d)
1416,Wireless Communications: Principles and Practice / Edition 2,Theodore S. Rappaport,$93.97 ,,,,9.78013E+12,978-0130422323,Prentice Hall Communications Engineering and Emerging Technologies Series from Ted Rappaport Series,Prentice Hall,,"326,072",736,7.38(w) x 9.56(h) x 1.67(d)
1417,Getting Started with Chromebook: The Unofficial Guide to Chrome OS,Katie Morris,,$7.99 ,$2.99 ,,2.94015E+12,294-0151257060,,GadChick Books,,"326,326",,
1418,Learn You Some Erlang for Great Good!: A Beginner's Guide,Fred Hebert,,$38.57 ,$22.99 ,,9.78159E+12,978-1593274351,,"No Starch Press San Francisco, CA",,"705,970",624,7.00(w) x 9.20(h) x 1.80(d)
1419,Bring It Home with CorelDRAW: A Guide to In-House Graphic Design,Roger Wambolt,,$31.50 ,$27.99 ,,9.78144E+12,978-1435461017,,Cengage Learning,,"1,044,516",256,7.30(w) x 9.00(h) x 0.70(d)
1420,"99 Cent Best Seller Introduction To Programming (addition,debut,establishment,inauguration,influx,initiation,installation,aunch,opening,preface)",Resounding Wind Publishing,,,,,2.94015E+12,294-0149933556,,Resounding Wind Publishing,,"326,665",,
1421,Practical SharePoint 2013 Enterprise Content Management,Steve Goodyear,,$48.31 ,$35.99 ,,9.78143E+12,978-1430261698,,Apress,,"326,908",320,9.20(w) x 11.30(h) x 1.00(d)
1422,Professional Microsoft IIS 8,Ken Schaefer# Jeff Cochran# Scott Forsyth# Dennis Glendenning,,$42.77 ,$34.49 ,,9.78112E+12,978-1118388044,,Wiley,,"1,319,250",984,7.40(w) x 9.20(h) x 1.90(d)
1423,Bgp: Building Reliable Networks with the Border Gateway Protocol,Iljitsch van Beijnum,,$36.03 ,$18.49 ,,9.7806E+12,978-0596002541,,"O'Reilly Media, Incorporated",,"787,457",290,7.06(w) x 9.13(h) x 0.70(d)
1424,PROBLEM SOLVING W/ALGORITHMS & / Edition 1,Bradley N. Miller# David L. Ranum,,$39.13 ,,,9.78159E+12,978-1590280539,,"Franklin, Beedle & Associates, Incorporated",,"327,204",357,7.40(w) x 9.10(h) x 0.70(d)
1425,"TCP/IP Network Administration,3rd Edition",Craig Hunt,,$29.61 ,$20.99 ,,9.7806E+12,978-0596002978,,"O'Reilly Media, Incorporated",,"402,974",748,7.00(w) x 9.20(h) x 1.52(d)
1426,Connecting Arduino,Bob Hammell,,,,,9.78131E+12,978-1312410343,,Lulu.com,,"327,366",,
1427,"Digital Textile Design, Second edition / Edition 2",Melanie Bowles# Ceri Isaac,,$21.71 ,,,9.78178E+12,978-1780670027,,"King, Laurence Publishing",,"402,944",192,8.40(w) x 11.00(h) x 0.70(d)
1428,Pro Express.js: Master Express.js: The Node.js Framework For Your Web Development,Azat Mardan,,$40.23 ,$32.49 ,,9.78148E+12,978-1484200384,,Apress,,"402,931",372,7.50(w) x 9.20(h) x 1.00(d)
1429,"In the Mind's Eye: Visual Thinkers, Gifted People with Dyslexia and Other Learning Difficulties, Computer Images and the Ironies of Creativity / Edition 1",Thomas G. West,,,,,9.78157E+12,978-1573921558,,Prometheus Books,,"402,860",395,what's this?
1430,Minecraft Building Guide: Golden Gate Bridge (Step-by-Step Blueprint Instructions),Gamers Lounge,,,,,2.94015E+12,294-0149206902,,Gamers Lounge,,"329,212",,
1431,Handbook of Digital Forensics and Investigation,Eoghan Casey,,$38.35 ,$40.99 ,,9.78012E+12,978-0123742674,,Elsevier Science,,"329,650",600,7.50(w) x 9.20(h) x 1.20(d)
1432,"The Encyclopedia of Business Letters, Faxes, and Emails, Revised Edition / Edition 2",Robert W. Bly,,$15.59 ,$11.49 ,,9.7816E+12,978-1601630292,,Career Pr Inc,,"399,835",288,6.90(w) x 9.90(h) x 0.80(d)
1433,Model-Based Engineering with AADL: An Introduction to the SAE Architecture Analysis &Design Language / Edition 1,Peter H. Feiler# David P. Gluch,$47.49 ,,$34.49 ,,9.78032E+12,978-0321888945,SEI Series in Software Engineering Series,Addison-Wesley,,"332,428",496,7.00(w) x 9.20(h) x 1.20(d)
1434,What Is Six SIGMA?,Peter Pande# Lawrence Holpp# Rath & Strong,,$12.55 ,$9.99 ,,9.78007E+12,978-0071381857,,McGraw-Hill Professional Publishing,,"614,002",96,6.00(w) x 9.00(h) x 0.24(d)
1435,Analyzing Business Rules,James King,,,,,9.7815E+12,978-1498987561,,James King,,"332,142",,
1436,Backfire: Carly Fiorina's High-Stakes Battle for the Soul of Hewlett-Packard,Peter Burrows,,,,,9.78047E+12,978-0471267652,,Wiley,,"331,871",312,0.81(w) x 9.00(h) x 6.00(d)
1437,Cyber Law: Maximizing Safety and Minimizing Risk in Classrooms,Aimee M. Bissonette, ,$21.92 ,$19.99 ,,9.78141E+12,978-1412966153,,SAGE Publications,,"332,000",115,5.90(w) x 8.90(h) x 0.40(d)
1438,Introduction to Probability and Statistics: Principles and Applications for Engineering and the Computing Sciences / Edition 4,J. Susan Milton# Jesse Arnold# Jesse C. Arnold,$226.89 , ,,,9.78007E+12,978-0072468366,,McGraw-Hill Higher Education,,"331,835",816,6.40(w) x 9.60(h) x 1.47(d)
1439,Beginning Visual C# 2012 Programming,Karli Watson# Jacob Vibe Hammer# Jon D. Reid# Morgan Skinner,,$29.63 ,$25.99 ,,9.78112E+12,978-1118314418,,Wiley,,"614,548",912,7.40(w) x 9.30(h) x 1.70(d)
1440,SQL (Database Programming) (2015 Edition),Chris Fehily,,$24.99 ,$9.99 ,,2.94015E+12,294-0148754619,,Questing Vole Press,,"329,354",,
1441,GO! with Microsoft Office 2013 Getting Started / Edition 1,Shelley Gaskin# Robert Ferrett# Alicia Vargas# Carolyn McLellan,,,,,9.78013E+12,978-0133349788,,Prentice Hall,,"331,753",352,8.50(w) x 10.70(h) x 0.60(d)
1442,Plants Vs Zombies 2 Cheats,HSE,,,$3.49 ,,9.78131E+12,978-1312087781,,Lulu.com,,"329,587",,
1443,RESTful Java with JAX-RS 2.0,Bill Burke,,$38.41 ,$17.99 ,,9.78145E+12,978-1449361341,,"O'Reilly Media, Incorporated",,"341,531",392,6.90(w) x 9.10(h) x 0.90(d)
1444,Microsoft Forefront Identity Manager 2010 R2 Handbook,Kent Nordström,,,,,9.78185E+12,978-1849685375,,Packt Publishing,,"329,693",,
1445,Beginning iPhone Development with Swift: Exploring the iOS SDK,Kim Topley# Fredrik Olsson# Jack Nutting# David Mark,,,,,9.78148E+12,978-1484204092,,Apress,,"329,707",828,
1446,Learn to Program with Visual Basic (2014 Edition),John Smiley, ,$18.06 ,$9.99 ,,2.94015E+12,294-0148140023,,John Smiley Publishing,,"329,842",600,
1447,SolidWorks 2014 Short and Simple,Online Instructor,,,,,2.94015E+12,294-0149177622,,Online Instructor,,"330,058",,
1448,Super Mario Jokes and Memes Book - The Most Hilarious Collection!,DigiDiz Guides,,,,,9.78277E+12,978-2765915461,,DigiDiz Guides,,"330,553",,
1449,Windows PowerShell for Developers,Douglas Finke,,$24.99 ,$9.99 ,,9.78145E+12,978-1449322700,,"O'Reilly Media, Incorporated",,"690,123",210,6.90(w) x 9.10(h) x 0.40(d)
1450,Jony Ive: The Genius Behind Apple's Greatest Products,Leander Kahney,$20.30 ,$11.87 ,$9.99 ,,9.78159E+12,978-1591847069,,Penguin Publishing Group,,"553,960",320,
1451,Video Scribing,Jon Air# Eric Oakland# Chipp Walters,,,,,2.94005E+12,294-0046158687,,Jon Air,,"330,152",,
1452,History Of Video Game Systems: Knowing About What Started It All,David Zeb,,,,,2.94001E+12,294-0013561762,,WealthGeneration,,"329,983",,
1453,Workflow of Data Analysis Using Stata,J. Scott Long,,$55.47 ,,,9.7816E+12,978-1597180474,,Taylor & Francis,,"329,954",379,7.20(w) x 9.20(h) x 0.90(d)
1454,"Pinterest Power: Market Your Business, Sell Your Product, and Build Your Brand on the World's Hottest Social Network",Jason Miles# Karen Lacey,,$18.94 ,$12.49 ,,9.78007E+12,978-0071805568,,McGraw-Hill Professional Publishing,,"710,773",240,5.90(w) x 8.90(h) x 0.80(d)
1455,Sql Simplified: Learn to Read and Write Structured Query Language,Cecelia L. Allison,,$15.97 ,$2.49 ,,9.78141E+12,978-1410729743,,Authorhouse,,"530,334",212,6.08(w) x 9.20(h) x 0.52(d)
1456,Sams Teach Yourself C++ in One Hour a Day,Siddhartha Rao# Jesse Liberty,,$30.54 ,$19.99 ,,9.78067E+12,978-0672335679,Sams Teach Yourself Series,Sams,,"459,712",768,6.90(w) x 9.00(h) x 1.70(d)
1457,"Amazon Seller Underground Tactics, Sell on Amazon, Use FBA",Nies Now,,,,,2.94001E+12,294-0013235168,,Amazon Guru,,"333,822",,
1458,InfoPath with SharePoint 2013 How-To,Steven Mann,,$29.02 ,$18.49 ,,9.78067E+12,978-0672336942,How-To Series,Sams,,"471,634",400,5.90(w) x 8.90(h) x 0.90(d)
1459,Multimedia for Learning: Methods and Development / Edition 3,Stephen M. Alessi# Stanley R. Trollip,$140.32 ,$99.05 ,,,9.78021E+12,978-0205276912,,Pearson,,"499,324",580,7.10(w) x 9.20(h) x 1.50(d)
1460,"Microsoft Office 2010: Illustrated Introductory, First Course / Edition 1",David W. Beskeen# Carol Cram# Jennifer Duffy# Lisa Friedrichsen,,,,,9.78054E+12,978-0538747158,Available Titles Skills Assessment Manager (SAM) - Office 2010 Series,Cengage Learning,,"333,713",680,8.90(w) x 10.80(h) x 1.00(d)
1461,Internet Marketing: Integrating Online and Offline Strategies / Edition 3,Mary Lou Roberts,,$92.33 ,,,9.78113E+12,978-1133625902,,Cengage Learning,,"333,154",512,10.70(w) x 8.40(h) x 0.90(d)
1462,Adobe Acrobat DC Classroom in a Book,Lisa Fridsma# Brie Gyncild,,,,,9.78013E+12,978-0134171906,,Pearson Education,,"333,210",312,
1463,Excel For Business Math,Speedy Publishing,,,,,9.78163E+12,978-1634289160,,Speedy Publishing LLC,,"333,017",5,
1464,OCP Upgrade to Oracle Database 12c Exam Guide (Exam 1Z0-060),Sam R. Alapati,,$45.29 ,$40.49 ,,9.78007E+12,978-0071819978,Oracle Press Series,McGraw-Hill Professional Publishing,,"335,269",528,7.30(w) x 9.10(h) x 1.20(d)
1465,"Minecraft Mod Development in 24 Hours, Sams Teach Yourself",Jimmy Koene,,$21.49 ,$15.49 ,,9.78067E+12,978-0672337192,Sams Teach Yourself Series,Sams,,"361,587",432,7.00(w) x 9.10(h) x 0.90(d)
1466,"Sams Teach Yourself Visual Basic 2012 in 24 Hours, Complete Starter Kit",James Foxall,,$26.25 ,$15.49 ,,9.78067E+12,978-0672336294,Sams Teach Yourself -- Hours Series,Sams,,"525,513",528,6.90(w) x 9.00(h) x 1.20(d)
1467,PHP Programming with MySQL: The Web Technology Series / Edition 2,Don Gosselin# Diana Kokoska# Robert Easterbrooks,,$136.67 ,,,9.78054E+12,978-0538745840,Web Technologies Series,Cengage Learning,,"218,974",720,7.30(w) x 9.10(h) x 1.20(d)
1468,Graphic Design History / Edition 2,Johanna Drucker# Emily McVarish,,$90.63 ,,,9.78021E+12,978-0205219469,,Pearson,,"334,945",416,8.50(w) x 10.80(h) x 0.90(d)
1469,Candy Crush Saga Game Guide for Kindle Fire HD: How to Install & Play with Tips,RAM Internet Media,,,,,2.94015E+12,294-0149247776,,RAM Internet Media,,"334,716",,
1470,Absolute Java / Edition 5,Walter Savitch# Kenrick Mock,,$129.99 ,,,9.78013E+12,978-0132830317,,Pearson,,"336,191",1272,7.40(w) x 8.90(h) x 1.70(d)
1471,"Business Data Communications- Infrastructure, Networking and Security / Edition 7",William Stallings# Tom Case,$140.05 ,,,,9.78013E+12,978-0133023893,,Pearson,,"336,171",624,9.20(w) x 7.20(h) x 1.00(d)
1472,"The Digital Photography Book, Part 2",Scott Kelby,,$19.84 ,$11.99 ,,9.78032E+12,978-0321948540,,Peachpit Press,,"698,969",264,5.90(w) x 8.90(h) x 0.70(d)
1473,Hackers: Heroes of the Computer Revolution,Steven Levy, ,$15.22 ,$10.49 ,,9.78145E+12,978-1449388393,,"O'Reilly Media, Incorporated",,"464,300",499,5.50(w) x 8.40(h) x 1.10(d)
1474,Mobile App Growth Hacks: Developer Interviews iOS 8,Chris Flammer,,,,,2.94005E+12,294-0046041071,,Chris Flammer,,"337,572",,
1475,Learning Python with Raspberry Pi,Alex Bradbury# Ben Everard,,$20.87 ,$16.49 ,,9.78112E+12,978-1118717059,,Wiley,,"460,616",286,7.30(w) x 9.10(h) x 0.60(d)
1476,Disrupting Digital Business: Create an Authentic Experience in the Peer-to-Peer Economy,"R ""Ray"" Wang",$20.29 ,,$15.49 ,,9.78142E+12,978-1422142011,,Harvard Business Review Press,,"515,053",208,5.40(w) x 8.40(h) x 1.00(d)
1477,The Sane Person's Guide to Self-Publishing,Diane V. Mulligan,,,,,2.94015E+12,294-0151866538,,Diane V. Mulligan,,"338,218",,
1478,iPhone All-in-One For Dummies,Joe Hutsko# Barbara Boyd,,$21.68 ,$18.49 ,,9.78112E+12,978-1118932186,,Wiley,,"338,608",576,7.30(w) x 9.00(h) x 1.00(d)
1479,Making Simple Robots: Exploring Cutting-Edge Robotics with Everyday Stuff,Kathy Ceceri# Anna Gerber# David Resseguire# Emily Rose,,$18.99 ,$10.49 ,,9.78146E+12,978-1457183638,,"Maker Media, Inc",,"338,609",243,7.50(w) x 9.20(h) x 0.50(d)
1480,Facebook All-in-One For Dummies,Jamie Crager# Scott Ayres# Melanie Nelson# Daniel Herndon,,,,,9.78112E+12,978-1118791783,For Dummies Series,Wiley,,"338,617",528,7.30(w) x 9.10(h) x 0.70(d)
1481,Java For Dummies,Burd,,$26.51 ,$16.49 ,,9.78112E+12,978-1118407806,For Dummies Series,Wiley,,"338,637",432,7.30(w) x 9.10(h) x 1.00(d)
1482,iPhone for Seniors in Easy Steps: Covers iPhone 6 and iOS 8,Nick Vandome,,,,,9.78184E+12,978-1840786385,In Easy Steps Series,In Easy Steps Limited,,"338,655",192,7.20(w) x 8.80(h) x 0.50(d)
1483,"My Pages, Numbers, and Keynote (for Mac and iOS)",Brad Miser,,$15.63 ,$11.99 ,,9.78079E+12,978-0789752673,My... Series,Que,,"338,658",384,6.00(w) x 9.00(h) x 0.80(d)
1484,Excel 2010 eLearning Kit For Dummies,Faithe Wempen,,$24.60 ,$20.99 ,,9.78112E+12,978-1118110799,For Dummies Series,Wiley,,"338,695",368,7.30(w) x 9.10(h) x 1.00(d)
1485,"Minecraft: The Unlikely Tale of Markus ""Notch"" Persson and the Game that Changed Everything",Daniel Goldberg# Linus Larsson,,,,,9.78161E+12,978-1609805371,,Seven Stories Press,,"338,887",256,5.40(w) x 7.10(h) x 1.10(d)
1486,Office 2010 For Dummies,Wallace Wang,,$17.79 ,$12.99 ,,9.78047E+12,978-0470489987,For Dummies Series,Wiley,,"338,922",432,7.50(w) x 9.20(h) x 1.00(d)
1487,JavaScript Pocket Reference,David Flanagan,,$12.50 ,$10.99 ,,9.78145E+12,978-1449316853,,"O'Reilly Media, Incorporated",,"339,029",280,4.20(w) x 7.00(h) x 0.30(d)
1488,"The Ultimate Unofficial Guide to Minecraft Strategies: Everything You Need to Know to Build, Explore, Attack, and Survive in the World of Minecraft",Instructables.com,,$13.68 ,$10.99 ,,9.78163E+12,978-1632202413,,Skyhorse Publishing,,"339,091",172,8.40(w) x 11.10(h) x 0.70(d)
1489,"Encyclopedia of Electronic Components Volume 2: LEDs, LCDs, Audio, Thyristors, Digital Logic, and Amplification",Charles Platt,,$22.66 ,$14.49 ,,9.78145E+12,978-1449334185,,"Maker Media, Inc",,"339,156",320,7.90(w) x 9.60(h) x 0.60(d)
1490,Teach Yourself VISUALLY Apple Watch,Guy Hart-Davis,,$19.37 ,$12.99 ,,9.78112E+12,978-1119059516,Teach Yourself VISUALLY (Tech) Series,Wiley,,"339,219",256,7.30(w) x 8.90(h) x 0.60(d)
1491,How to Do Everything MacBook Air,Jason Rich,,$19.39 ,$14.49 ,,9.78007E+12,978-0071802499,How To Do Everything Series,McGraw-Hill Professional Publishing,,"339,270",368,7.20(w) x 9.00(h) x 0.90(d)
1492,Web Design All-in-One For Dummies,Sue Jenkins,,$27.29 ,$23.49 ,,9.78112E+12,978-1118404102,For Dummies Series,Wiley,,"339,271",688,7.30(w) x 9.10(h) x 1.50(d)
1493,Getting Started with Raspberry Pi: Electronic Projects with the Low-Cost Pocket-Sized Computer,Matt Richardson# Shawn Wallace,,$15.08 ,$10.49 ,,9.78146E+12,978-1457186127,,"Maker Media, Inc",,"339,296",200,
1494,Steve Jobs (en español),Walter Isaacson,,$15.55 ,$8.99 ,,9.78031E+12,978-0307950284,,Knopf Doubleday Publishing Group,,"339,307",752,5.10(w) x 7.90(h) x 1.50(d)
1495,Kickstarter For Dummies,Aimee Cebulski,,$11.79 ,$10.49 ,,9.78112E+12,978-1118505434,For Dummies Series,Wiley,,"339,328",208,6.00(w) x 8.90(h) x 0.50(d)
1496,AutoCAD 2015 and AutoCAD LT 2015 Bible,Ellen Finkelstein,,$37.94 ,$31.49 ,,9.78112E+12,978-1118880364,Bible Series,Wiley,,"339,378",1296,7.40(w) x 9.20(h) x 1.70(d)
1497,Microsoft Excel 2013 Inside Out,Mark Dodge# Craig Stinson,,$36.78 ,$23.49 ,,9.78074E+12,978-0735669055,Microsoft Inside Out Series,Microsoft Press,,"339,701",1168,9.00(w) x 7.40(h) x 2.30(d)
1498,Beginning Ruby: From Novice to Professional / Edition 2,Peter Cooper,,$25.07 ,,,9.78143E+12,978-1430223634,,Apress,,"339,782",656,7.00(w) x 9.20(h) x 1.60(d)
1499,The Fujifilm X-T1: 111 X-Pert Tips to Get the Most Out of Your Camera,Rico Pfirstinger,,$18.51 ,$10.99 ,,9.78194E+12,978-1937538590,,Rocky Nook,,"339,928",192,5.90(w) x 8.90(h) x 0.50(d)
1500,The Internet of Things,Samuel Greengard,,$12.68 ,$10.49 ,,9.78026E+12,978-0262527736,The MIT Press Essential Knowledge series,MIT Press,,"339,930",232,
1501,Office 2013 Digital Classroom,Walter Holland# AGI Creative Team,,$33.70 ,$18.49 ,,9.78112E+12,978-1118568477,Digital Classroom Series,Wiley,,"339,955",672,7.40(w) x 9.10(h) x 1.20(d)
1502,VCP5-DCV Official Certification Guide (Covering the VCP550 Exam): VMware Certified Professional 5 - Data Center Virtualization on vSphere 5.5,Bill Ferguson,$35.27 ,,$23.49 ,,9.78079E+12,978-0789753748,VMware Press Certification Series,VMware Press,,"340,040",750,7.30(w) x 9.30(h) x 1.50(d)
1503,"Photos for OS X and iOS: Take, edit, and share photos in the Apple photography ecosystem",Jeff Carlson,,$19.51 ,$13.99 ,,9.78013E+12,978-0134171951,,Peachpit Press,,"340,054",240,7.00(w) x 8.90(h) x 0.40(d)
1504,Tableau 8: The Official Guide (Enhanced Edition),George Peck,,,$32.49 ,,9.78007E+12,978-0071816779,Official Guide,McGraw-Hill Education,,"991,565",230,
1505,Adobe Photoshop CS6 Classroom in a Book - B&N; Edition,Adobe Creative Team,$53.08 ,,$25.49 ,,9.78013E+12,978-0133085198,,Adobe Press,,"340,143",432,9.42(w) x 7.48(h) x 1.02(d)
1506,UX Strategy: How to Devise Innovative Digital Products that People Want,Jaime Levy,,$25.36 ,$16.49 ,,9.78145E+12,978-1449372866,,"O'Reilly Media, Incorporated",,"340,503",312,6.00(w) x 8.90(h) x 0.70(d)
1507,SSCP (ISC)2 Systems Security Certified Practitioner Official Study Guide,George Murphy,,$36.00 ,$31.49 ,,9.78112E+12,978-1119059653,,Wiley,,"340,654",576,7.30(w) x 9.10(h) x 1.30(d)
1508,Beginning C for Arduino: Learn C Programming for the Arduino,Ph.D. # Jack Purdum Jack,,$31.89 ,$23.99 ,,9.78143E+12,978-1430247760,,Apress,,"340,794",280,7.40(w) x 9.10(h) x 0.60(d)
1509,MySQL / Edition 5,Paul DuBois,,$35.65 ,$25.49 ,,9.78032E+12,978-0321833877,,Addison-Wesley,,"340,829",1153,7.00(w) x 9.00(h) x 1.80(d)
1510,Web Development with Node and Express: Leveraging the JavaScript Stack,Ethan Brown,,$18.42 ,$14.99 ,,9.78149E+12,978-1491949306,,"O'Reilly Media, Incorporated",,"340,842",330,7.00(w) x 9.10(h) x 0.80(d)
1511,Professional Team Foundation Server 2013,Steven St. Jean# Damian Brady# Ed Blankenship# Martin Woodward,,$38.15 ,$34.49 ,,9.78112E+12,978-1118836347,,Wiley,,"340,929",912,7.20(w) x 9.20(h) x 1.70(d)
1512,Professional SharePoint 2013 Development,Reza Alirezaei# Brendon Schwartz# Matt Ranlett# Scot Hillier,,$38.47 ,$25.99 ,,9.78112E+12,978-1118495827,,Wiley,,"275,784",816,7.30(w) x 9.20(h) x 1.50(d)
1513,"Physics for Game Developers: Science, Math, and Code For Realistic Effects",David M Bourg# Bryan Bywalec,,$32.64 ,$24.99 ,,9.78145E+12,978-1449392512,,"O'Reilly Media, Incorporated",,"341,102",551,6.90(w) x 9.10(h) x 1.20(d)
1514,JavaScript by Example / Edition 2,Ellie Quigley,,$25.75 ,$22.99 ,,9.78014E+12,978-0137054893,,Prentice Hall,,"341,112",879,7.00(w) x 9.10(h) x 1.20(d)
1515,Microsoft SharePoint 2013 Administration Inside Out,Randy Williams# CA Callahan# Chris Givens# Milan Gross,,$36.34 ,$23.49 ,,9.78074E+12,978-0735675391,Microsoft Inside Out Series,Microsoft Press,,"518,373",954,11.90(w) x 14.40(h) x 3.40(d)
1516,The Network Security Test Lab: A Step-by-Step Guide,Michael Gregg,,$43.63 ,$25.99 ,,9.78112E+12,978-1118987056,,Wiley,,"341,201",480,7.30(w) x 9.10(h) x 0.90(d)
1517,Jenkins,John Ferguson Smart,,$41.85 ,$19.49 ,,9.78145E+12,978-1449305352,,"O'Reilly Media, Incorporated",,"341,277",380,7.00(w) x 9.20(h) x 0.90(d)
1518,CISSP: Certified Information Systems Security Professional Study Guide,James M. Stewart# Mike Chapple# Darril Gibson,,$41.39 ,$36.49 ,,9.78112E+12,978-1118314173,,Wiley,,"341,392",936,7.40(w) x 9.20(h) x 2.00(d)
1519,InDesign CS5 For Dummies,Galen Gruman,,$16.81 ,$13.99 ,,9.78047E+12,978-0470614495,For Dummies Series,Wiley,,"341,419",460,7.30(w) x 9.20(h) x 1.30(d)
1520,Photoshop CC Bible,Lisa DaNae Dayley# Brad Dayley,,$34.29 ,$28.49 ,,9.78112E+12,978-1118643693,Bible Series,Wiley,,"341,532",1152,7.40(w) x 9.10(h) x 1.60(d)
1521,Beginning LEGO MINDSTORMS EV3,Mark Rollins,,$31.94 ,$23.99 ,,9.78143E+12,978-1430264361,,Apress,,"341,536",280,8.40(w) x 11.00(h) x 0.70(d)
1522,Hacker's Delight / Edition 2,Henry S. Warren,$46.92 ,,$38.39 ,,9.78032E+12,978-0321842688,,Addison-Wesley,,"225,175",512,6.40(w) x 9.20(h) x 1.30(d)
1523,Stephens' Visual Basic Programming 24-Hour Trainer,Rod Stephens,,,,,9.78047E+12,978-0470943359,,Wiley,,"341,721",504,7.30(w) x 9.10(h) x 1.20(d)
1524,"Bloggers Boot Camp: Learning How to Build, Write, and Run a Successful Blog",Charlie White# John Biggs,,$26.71 ,$24.49 ,,9.78042E+12,978-0415737142,,Taylor & Francis,,"341,727",204,8.40(w) x 10.90(h) x 0.60(d)
1525,"CompTIA Network+ Certification Study Guide, 5th Edition (Exam N10-005)",Glen E. Clarke,,,$37.50 ,,9.78007E+12,978-0071799829,CompTIA Authorized,McGraw-Hill Education,,"1,129,800",800,
1526,Bioinformatics Data Skills: Reproducible and Robust Research with Open Source Tools,Vince Buffalo,,$41.59 ,$24.99 ,,9.78145E+12,978-1449367374,,"O'Reilly Media, Incorporated",,"341,771",538,6.90(w) x 9.00(h) x 1.20(d)
1527,The Basics of Digital Forensics: The Primer for Getting Started in Digital Forensics,John Sammons,,$27.71 ,$20.49 ,,9.78013E+12,978-0128016350,,Elsevier Science,,"341,879",200,7.50(w) x 9.10(h) x 0.50(d)
1528,Oracle Database 12c SQL / Edition 1,Jason Price,,$30.65 ,$45.00 ,,9.78007E+12,978-0071799355,,McGraw-Hill Professional Publishing,,"341,921",688,7.30(w) x 9.00(h) x 1.60(d)
1529,Microsoft Manual of Style,Microsoft Corporation,,$18.53 ,$13.99 ,,9.78074E+12,978-0735648715,,Microsoft Press,,"342,518",464,7.30(w) x 8.90(h) x 1.30(d)
1530,Cryptography: The Science of Secret Writing,Laurence D. Smith,,$8.95 ,,,9.78049E+12,978-0486202471,,Dover Publications,,"342,609",160,
1531,OCA Java SE 8 Programmer I Study Guide (Exam 1Z0-808),Edward Finegan# Robert Liguori,,$32.09 ,$28.99 ,,9.78126E+12,978-1259587511,Oracle Press Series,McGraw-Hill Professional Publishing,,"342,852",608,7.30(w) x 9.00(h) x 1.40(d)
1532,"Cyber Warfare: Techniques, Tactics and Tools for Security Practitioners / Edition 2",Jason Andress# Steve Winterfeld,,$29.57 ,$29.96 ,,9.78012E+12,978-0124166721,,Elsevier Science,,"342,880",324,7.60(w) x 9.30(h) x 0.40(d)
1533,Android Application Development For Dummies,Donn Felker# Steven Holzner,,$24.27 ,$16.49 ,,9.78047E+12,978-0470770184,For Dummies Series,Wiley,,"426,953",384,7.30(w) x 9.20(h) x 1.00(d)
1534,Advanced Google AdWords,Brad Geddes,,$27.20 ,$22.99 ,,9.78112E+12,978-1118819562,,Wiley,,"343,363",696,7.40(w) x 9.20(h) x 1.40(d)
1535,Programming Clojure,Stuart Halloway# Aaron Bedra,,$28.22 ,,,9.78193E+12,978-1934356869,,"Pragmatic Programmers, LLC, The",,"343,391",296,7.40(w) x 8.90(h) x 1.00(d)
1536,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson# Lord William Rees-Mogg# Lord William Rees-Mogg Lord William,,,,,9.78068E+12,978-0684832722,,Touchstone,,"343,606",448,5.50(w) x 8.43(h) x 1.30(d)
1537,Fine Art Printing for Photographers: Exhibition Quality Prints with Inkjet Printers,Uwe Steinmueller# Juergen Gulbins,,$29.60 ,$19.49 ,,9.78194E+12,978-1937538248,,Rocky Nook,,"343,617",356,8.16(w) x 9.99(h) x 0.91(d)
1538,My Xbox One,Bill Loguidice# Christina Loguidice,,$17.70 ,$11.99 ,,9.78079E+12,978-0789751959,My... Series,Que,,"343,647",386,6.00(w) x 8.90(h) x 0.80(d)
1539,Implementing Cisco IP Switched Networks (SWITCH) Foundation Learning Guide: (CCNP SWITCH 300-115),Richard Froom# Erum Frahim,$62.97 ,,$51.99 ,,9.78159E+12,978-1587206641,Foundation Learning Guides Series,Cisco Press,,"343,911",512,7.30(w) x 9.30(h) x 1.30(d)
