"ID", "Title", "Author", "Price", "Edition", "ASIN", "ISBN-13", "ISBN-10", "Paperback", "Series", "Publisher", "File Size", "Print Length", "Publication Date", "Sold by", "Language", "Product Dimensions", "Shipping Weight"
"2180","Macromedia Dreamweaver MX 2004: Comprehensive Concepts (Shelly Cashman Series)","Gary B. Shelly; Thomas J. Cashman; Dolores Wells; Thomas J. Cashman","$11.98 - $150.82","1st Edition","","978-0619254933","0619254939","784 pages","Shelly Cashman Series","Cengage Learning; 1 edition (June 21, 2005)","","","","","English","10.8 x 8.5 x 1 inches","3.4 pounds (View shipping rates and policies)"
"2181","Teachers Discovering and Integrating Microsoft Office: Essential Concepts and Techniques (Shelly Cashman)","Gary B. Shelly; Thomas J. Cashman; Gary B. Shelly; Randolph E. Gunter; Thomas J. Cashman; Glenda A. Gunter; Randolph E. Gunter","$0.00","2nd Edition","","978-0619255169","0619255161","352 pages","Shelly Cashman","Course Technology; 2 edition (October 1, 2004)","","","","","English","10.8 x 8.5 x 1 inches","1.6 pounds"
"2182","Discovering Computers 2006: A Gateway to Information, Brief (Shelly Cashman)","Gary B. Shelly; Thomas J. Cashman; Misty E. Vermaat; Thomas J. Cashman","$7.95","1st Edition","","978-0619255442","0619255447","512 pages","Shelly Cashman","Course Technology; 1 edition (February 23, 2005)","","","","","English","10.8 x 8.4 x 0.7 inches","2.3 pounds"
"2183","HTML, JavaScript, and Advanced Internet Technologies","Karl Barksdale; E. Shane Turner; Karl Barksdale","$80.54 - $103.28","1st Edition","","978-0619266271","0619266279","392 pages","","Course Technology; 1 edition (August 9, 2005)","","","","","English","0.8 x 8.2 x 10.5 inches","1.6 pounds (View shipping rates and policies)"
"2184","Fundamentals of Java: AP* Computer Science Essentials for the A & AB Exams","Kenneth Lambert; Martin Osborne; Kenneth Lambert","$24.21 - $202.95","3rd Edition","","978-0619267230","0619267232","","","Course Technology; 3 edition (March 2, 2006)","","","","","English","10.9 x 8.6 x 1.4 inches","4 pounds (View shipping rates and policies)"
"2185","Understanding Computers: Today and Tomorrow, tenth Edition, Enhanced","Deborah Morley; Charles S. Parker","$34.99","10th Edition","","978-0619267667","0619267666","704 pages","","Course Technology; 10 edition (March 1, 2005)","","","","","English","10.7 x 8.5 x 1 inches","3.6 pounds"
"2186","New Perspectives on Microsoft Office Access 2003, Comprehensive, Second Edition (New Perspectives (Course Technology Paperback))","Joseph J. Adamski; Kathy T. Finnegan","$4.62 - $128.95","2nd Edition","","978-0619268114","0619268115","792 pages","New Perspectives (Course Technology Paperback)","Course Technology; 2 edition (February 14, 2005)","","","","","English","10.8 x 8.4 x 1 inches","3.6 pounds (View shipping rates and policies)"
"2187","Introduction to Computer Graphics - Design Professional","Daniel Bouweraerts","$6.49 - $146.95","1st Edition","","978-0619273330","061927333X","490 pages","Design Professional","Course Technology; 1 edition (December 7, 2004)","","","","","English","1 x 9.2 x 7.5 inches","2.3 pounds (View shipping rates and policies)"
"2188","Virtual Reality: The Revolutionary Technology of Computer-Generated Artificial Worlds - and How It Promises to Transform Society","Howard Rheingold","$23.89","","","","","","","","","","","","","",""
"2189","Fuzzy Logic: The Revolutionary Computer Technology that Is Changing Our World","Daniel McNeill; Paul Freiberger","$18.76","","","","","","","","","","","","","",""
"2190","Gates: How Microsoft's Mogul Reinvented an Industry--and Made Himself the Richest Man in America","Stephen Manes; Paul Andrews","$26.82","","","","","","","","","","","","","",""
"2191","Commodore 64: Programmer's Reference Guide","Commodore Computers","$12.25","","","978-0672220562","0672220563","","","Commodore Business Machines; 1st edition (December 1982)","","","","","English","5.6 x 0.7 x 8.5 inches","1.4 pounds"
"2192","IBM Personal Computer: Troubleshooting and Repair for the IBM PC Pc/XT and PC at","Robert C. Brenner","$0.40","","","978-0672226625","0672226626","860 pages","","Financial Times Prentice Hall; 1st edition (September 1989)","","","","","English","0.8 x 8 x 9 inches","1.9 pounds"
"2193","Master Ultima","Ralph Roberts","$7.48","","","978-0672228285","0672228289","398 pages","","Sams Publishing; 1st edition (June 1991)","","","","","English","0.8 x 7.5 x 0.8 inches","1.4 pounds"
"2194","Windows for Kids: Computer Activity Book/Book and Disk","William B. Sanders","$13.61","","","978-0672302572","0672302578","128 pages","","Alpha Books; Pap/Dsk edition (March 1993)","","","","","English","0.2 x 8.2 x 9.5 inches","11.2 ounces"
"2195","Mastering Turbo Assembler","Tom Swan","$0.99","","","978-0672305269","0672305267","944 pages","","Sams Publishing; 2nd edition (April 10, 1995)","","","","","English","2 x 7.8 x 9.5 inches","3.5 pounds"
"2196","Visual Basic Applications for Office 2000 Unleashed","Paul McFedries","$1.59","","","978-0672315671","067231567X","1114 pages","Unleashed","Sams Publishing (June 1999)","","","","","English","2.2 x 7.5 x 9.8 inches","4.9 pounds"
"2197","Sams Teach Yourself Linux Programming in 24 Hours","Warren W. Gay; Larren W. Gay; Warren W. Gay; Warren Gay; Larren W. Gay","$0.34","","","978-0672315824","0672315823","526 pages","Sams Teach Yourself...in 24 Hours","Sams (May 1999)","","","","","English","9.1 x 7.4 x 1.3 inches","2.1 pounds"
"2198","Active Directory Programming","Gil Kirkpatrick","$4.51","","","978-0672315879","0672315874","870 pages","Sams Professional Programming Series","Sams (March 30, 2000)","","","","","English","9.1 x 7.3 x 2.2 inches","3.4 pounds"
"2199","ThinkPad: A Different Shade of Blue","J. Gerry Purdy; Deborah A. Dell","$11.99","1st Edition","","978-0672317569","0672317567","","","Sams; 1st edition (September 1999)","","","","","English","9.6 x 6.4 x 1.1 inches","2.4 pounds"
"2200","Implementing SAP R/3: The Guide for Business and Technology Managers","Vivek Kale","$24.99 - $49.99","1st Edition","","978-0672317767","0672317761","528 pages","","Sams Publishing; 1 edition (January 20, 2000)","","","","","English","7.5 x 1.1 x 9.1 inches","1.9 pounds (View shipping rates and policies)"
"2201","ActionScripting in Flash","Phillip Kerman","$0.73","","","978-0672320781","0672320789","648 pages","","Sams; 1st edition (April 9, 2001)","","","","","English","9.1 x 7.4 x 1.3 inches","2.4 pounds"
"2202","Designing from Both Sides of the Screen: How Designers and Engineers Can Collaborate to Build Cooperative Technology","Ellen Isaacs; Alan Walendowski","$0.41","","","978-0672321511","0672321513","352 pages","","Sams (December 10, 2001)","","","","","English","7 x 0.8 x 9 inches","1.7 pounds"
"2203","The Inmates Are Running the Asylum: Why High Tech Products Drive Us Crazy and How to Restore the Sanity","Alan Cooper","$18.71","1st Edition","","978-0672326141","0672326140","288 pages","","Sams - Pearson Education; 1 edition (March 5, 2004)","","","","","English","6.1 x 0.8 x 9.2 inches","9.9 ounces (View shipping rates and policies)"
"2204","Mastering Unreal Technology: The Art of Level Design","Jason Busby; Zak Parrish; Joel VanEenwyk; Zak Parrish","$8.50"," ","","978-0672326929","0672326922","984 pages","","Sams (December 12, 2004)","","","","","English","7.2 x 1.9 x 9.2 inches","3.6 pounds"
"2205","Zend PHP Certification Study Guide","Zend Technologies","$15.95 - $27.70","1st Edition","","978-0672327094","0672327090","264 pages","","Sams Publishing; 1 edition (August 7, 2004)","","","","","English","7 x 0.5 x 9 inches","13.4 ounces (View shipping rates and policies)"
"2206","Microsoft Windows Home Server Unleashed","Paul McFedries","$23.49","1st Edition","","978-0672329630","0672329638","912 pages","","Sams Publishing; 1 edition (September 23, 2007)","","","","","English","7 x 2 x 9 inches","3.2 pounds (View shipping rates and policies)"
"2207","Mastering Unreal Technology, Volume I: Introduction to Level Design with Unreal Engine 3","Jason Busby; Zak Parrish; Jeff Wilson; Zak Parrish","$22.99","1st Edition","","978-0672329913","0672329913","912 pages","","Sams Publishing; 1 edition (July 31, 2009)","","","","","English","7.4 x 1.7 x 9.1 inches","2.9 pounds (View shipping rates and policies)"
"2208","Exchange Server 2010 Unleashed","Rand Morimoto; Michael Noel; Chris Amaris; Andrew Abbate; Mark Weinhardt; Andrew Abbate","$27.99","1st Edition","","978-0672330469","0672330466","1320 pages","","Sams Publishing; 1 edition (October 25, 2009)","","","","","English","7 x 2.1 x 9.1 inches","4.5 pounds (View shipping rates and policies)"
"2209","Windows Server 2008 How-To","J. Peter Bruzzese; Ronald Barrett; Wayne Dipchan; Ronald Barrett","$5.90 - $29.99","1st Edition","","978-0672330759","067233075X","312 pages","","Sams Publishing; 1 edition (August 2, 2009)","","","","","English","6 x 0.9 x 8.8 inches","15.2 ounces (View shipping rates and policies)"
"2210","Sams Teach Yourself LinkedIn in 10 Minutes","Patrice-Anne Rutledge","$6.99","1st Edition","","978-0672330858","0672330857","224 pages","","Sams Publishing; 1 edition (August 27, 2009)","","","","","English","5.4 x 0.4 x 8.2 inches","15.2 ounces"
"2211","Sams Teach Yourself Google Analytics in 10 Minutes","Michael Miller","$6.99","1st Edition","","978-0672333200","0672333201","240 pages","Sams Teach Yourself","Sams Publishing; 1 edition (July 18, 2010)","","","","","English","5.3 x 0.7 x 8.1 inches","9.9 ounces (View shipping rates and policies)"
"2212","Windows Phone 7.5 Unleashed","Daniel Vaughan","$27.49","1st Edition","","978-0672333484","0672333481","1120 pages","Unleashed","Sams Publishing; 1 edition (March 31, 2012)","","","","","English","7 x 1.4 x 9.1 inches","3.4 pounds (View shipping rates and policies)"
"2213","Windows Phone 7.5 Unleashed","Daniel Vaughan","$27.49","1st Edition","","978-0672333484","0672333481","1120 pages","Unleashed","Sams Publishing; 1 edition (March 31, 2012)","","","","","English","7 x 1.4 x 9.1 inches","3.4 pounds (View shipping rates and policies)"
"2214","Microsoft Windows Home Server 2011 Unleashed (3rd Edition)","Paul McFedries","$23.49","3rd Edition","","978-0672335402","0672335409","720 pages","Unleashed","Sams Publishing; 3 edition (April 8, 2011)","","","","","English","7 x 1.5 x 9.1 inches","2.4 pounds (View shipping rates and policies)"
"2215","System Center Opalis Integration Server 6.3 Unleashed","Kerrie Meyler; Mark Gosson; Charles Joy","$22.99","1st Edition","","978-0672335617","0672335611","560 pages","Unleashed","Sams Publishing; 1 edition (August 10, 2011)","","","","","English","6.9 x 1.2 x 9.1 inches","1.9 pounds (View shipping rates and policies)"
"2216","Windows 8 Apps with XAML and C# Unleashed","Adam Nathan","$22.99","1st Edition","","978-0672336010","0672336014","624 pages","Unleashed","Sams Publishing; 1 edition (December 22, 2012)","","","","","English","6.9 x 1.2 x 9.1 inches","2.5 pounds (View shipping rates and policies)"
"2217","Sams Teach Yourself Google TV App Development in 24 Hours","Carmen Delessio","$17.27","1st Edition","","978-0672336034","0672336030","400 pages","Sams Teach Yourself","Sams Publishing; 1 edition (February 17, 2013)","","","","","English","6.9 x 0.8 x 9 inches","1.4 pounds (View shipping rates and policies)"
"2218","Windows Server 2012 Unleashed","Rand Morimoto; Michael Noel; Guy Yardeni; Michael Noel; Omar Droubi; Andrew Abbate; Chris Amaris; Andrew Abbate","$27.99","1st Edition","","978-0672336225","0672336227","","Unleashed","Sams Publishing; 1 edition (September 26, 2012)","","","","","English","7.3 x 2.2 x 9.2 inches","4.6 pounds (View shipping rates and policies)"
"2219","Where in the World Is Carmen San Diego? Book","Barbara Rieman; Roy Rieman","$6.03","","","978-0672485251","0672485257","537 pages","","Hayden Books (June 1992)","","","","","English","8 x 0.9 x 9.1 inches","1.9 pounds"
"2220","The Offensive Internet: Speech, Privacy, and Reputation","Saul Levmore; Martha C. Nussbaum; Saul Levmore","$17.65","","","","","","","","","","","","","",""
"2221","A Computer Perspective","Charles Eames; Ray Eames; Glen Fleck; Ray Eames; I. Bernard Cohen; Glen Fleck; Robert Staples; I. Bernard Cohen","$14.98","Rev Sub Edition","","978-0674156265","0674156269","176 pages","","Harvard University Press; Rev Sub edition (September 1, 1990)","","","","","English","8.8 x 8.8 x 0.5 inches","1 pounds"
"2222","The Black Box Society: The Secret Algorithms That Control Money and Information","Frank Pasquale","$22.99","1st Edition","","978-0674368279","0674368274","","","Harvard University Press; 1 edition (January 5, 2015)","","","","","English","9.5 x 6.4 x 1 inches","1.3 pounds (View shipping rates and policies)"
"2223","Pascal: Adversary and Advocate","Robert J. Nelson","$2.62","","","978-0674656154","0674656156","","","Harvard University Press; First edition (January 5, 1982)","","","","","English","9.6 x 6.4 x 1.1 inches","1.4 pounds"
"2224","From Mainframes to Smartphones: A History of the International Computer Industry (Critical Issues in Business History)","Martin Campbell-Kelly; Daniel D. Garcia-Swartz; Martin Campbell-Kelly","$45.00","","","","","","","","","","","","","",""
"2225","8086/8088 Microprocessor: Architecture, Programming, and Interfacing (Merrill's International Series in Electrical and Electronics Technology)","Barry B. Brey","$23.49"," ","","978-0675204439","0675204437","","Merrill's International Series in Electrical and Electronics Technology","Merrill Pub Co (February 1987)","","","","","English","9.1 x 6.6 x 1.1 inches","1.6 pounds"
"2226","Being Digital","Nicholas Negroponte","$11.99","1st Edition","","978-0679762904","0679762906","272 pages","","Vintage; 1 edition (January 3, 1996)","","","","","English","5.2 x 0.6 x 8 inches","5.6 ounces (View shipping rates and policies)"
"2227","Being Digital","Nicholas Negroponte","$11.99","1st Edition","","978-0679762904","0679762906","272 pages","","Vintage; 1 edition (January 3, 1996)","","","","","English","5.2 x 0.6 x 8 inches","5.6 ounces (View shipping rates and policies)"
"2228","Where Wizards Stay Up Late: The Origins Of The Internet","Katie Hafner","$13.99","First Paperback Edition Edition","","978-0684832678","0684832674","304 pages","","Simon & Schuster; First Paperback Edition edition (January 21, 1998)","","","","","English","5.5 x 0.8 x 8.4 inches","10.4 ounces (View shipping rates and policies)"
"2229","Creating the Digital Future: The Secrets of Consistent Innovation at Intel","Albert Y.c. Yu","$0.01","","","978-0684839882","0684839881","","","Free Press (August 12, 1998)","","","","","English","6.4 x 0.8 x 9.6 inches","8.8 ounces"
"2230","Burn Rate: How I Survived the Gold Rush Years on the Internet","Michael Wolff","$17.26","","","","","","","","","","","","","",""
"2231","Free, Perfect, and Now: Connecting to the Three Insatiable Customer Demands, A CEO's True Story","Robert Rodin; Curtis Hartman","$16.56","","","","","","","","","","","","","",""
"2232","Quest for the Quantum Computer","David Deutsch; Julian Brown; David Deutsch","$22.94","","","978-0684870045","0684870045","400 pages","","Simon & Schuster; 1st Touchstone Ed edition (August 14, 2001)","","","","","English","5.5 x 0.9 x 8.4 inches","1.3 pounds (View shipping rates and policies)"
"2233","The Computer from Pascal to von Neumann","Herman H. Goldstine","$39.49","New Ed Edition","","978-0691023670","0691023670","365 pages","","Princeton University Press; New Ed edition (October 1, 1980)","","","","","English","6 x 1 x 9 inches","1.2 pounds (View shipping rates and policies)"
"2234","Stereo Computer Graphics and Other True 3D Technologies (Princeton Series in Computer Science)","David F. McAllister","$14.46","1st.ed. Edition","","978-0691087412","0691087415","","Princeton Series in Computer Science","Princeton University Press; 1st.ed. edition (August 15, 1993)","","","","","English","0.8 x 8 x 10.5 inches","2 pounds"
"2235","Behind Deep Blue: Building the Computer that Defeated the World Chess Champion","Feng-Hsiung Hsu","$3.49","","","978-0691090658","0691090653","","","Princeton University Press (October 6, 2002)","","","","","English","9.5 x 6.4 x 1 inches","1.3 pounds"
"2236","Introduction to Computational Science: Modeling and Simulation for the Sciences","Angela B. Shiflet; George W. Shiflet","$7.29 - $99.95"," ","","978-0691125657","0691125651","","","Princeton University Press (May 22, 2006)","","","","","English","10.2 x 7.2 x 1.4 inches","2.6 pounds (View shipping rates and policies)"
"2237","Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers","John MacCormick; Chris Bishop","$14.01","","","978-0691158198","0691158193","232 pages","","Princeton University Press; 4.5.2013 edition (May 5, 2013)","","","","","English","1 x 6.2 x 9.2 inches","12.8 ounces (View shipping rates and policies)"
"2238","Alan Turing: The Enigma: The Book That Inspired the Film &quot;The Imitation Game&quot;","Andrew Hodges; Douglas Hofstadter","$12.43","","","","","","","","","","","","","",""
"2239","Coming of Age in Second Life: An Anthropologist Explores the Virtually Human","Tom Boellstorff","$22.22","","","","","","","","","","","","","",""
"2240","Concert Blast Experiences Guest List-Backstage-VIP","Mike Arnold; Claire Watson; Mike Arnold","$22.95","","","","","","","","","","","","","",""
"2241","Managing Profitability Using Microsoft Project 2013: A Project Manager's Guide to Measuring and Controlling Revenue-Generating Projects","Susan L Harrell PMP","$17.99","","","","","","","","","","","","","",""
"2242","Artificial Intelligence: Workless Society: When Robots Take Our Jobs","Kalman Toth M.A. M.PHIL.","$14.95","","","","","","","","","","","","","",""
"2243","Writing for Video Games (Professional Media Practice)","Steve Ince","$6.70","","","978-0713677614","0713677619","192 pages","Professional Media Practice","Methuen Drama (September 29, 2006)","","","","","English","5 x 1 x 9 inches","7 ounces"
"2244","Check Your English Vocabulary for Computers and Information Technology: All you need to improve your vocabulary (Check Your Vocabulary)","Jon Marks","$14.95","","","978-0713679175","0713679174","80 pages","Check Your Vocabulary","A&C; Black; 3 Workbook edition (April 2, 2007)","","","","","English","8.4 x 0.2 x 11.8 inches","9.6 ounces (View shipping rates and policies)"
"2245","Principles of Database and Knowledge-Base Systems Vol. 2: The New Technologies","Jeffrey D. Ullman","$14.58","","","978-0716781622","071678162X","","","Computer Science Press; 1 edition (1989)","","","","","English","9.4 x 6.2 x 1.2 inches","1.9 pounds"
"2246","Principles of Database and Knowledge-Base Systems Vol. 2: The New Technologies","Jeffrey D. Ullman","$14.58","","","978-0716781622","071678162X","","","Computer Science Press; 1 edition (1989)","","","","","English","9.4 x 6.2 x 1.2 inches","1.9 pounds"
"2247","How Computers Play Chess","David N. L. Levy; Monty Newborn","$19.00","","","978-0716782391","0716782391","","","W H Freeman & Co (Sd) (January 1991)","","","","","English","1 x 6.8 x 9.8 inches","1.2 pounds"
"2248","MRI Principles","Donald G. Mitchell MD; Mark Cohen PhD; Donald G. Mitchell MD","$47.28","","","978-0721600246","0721600247","","","Saunders; 2 edition (December 5, 2003)","","","","","English","0.8 x 7.5 x 10.2 inches","2.5 pounds"
"2249","Learn Marketing with Social Media in 7 Days: Master Facebook, LinkedIn and Twitter for Business","Linda Coles","$42.00","","","","","","","","","","","","","",""
"2250","Computer and Internet Liability: Strategies, Claims and Defenses, Second Edition","Richard D. Williams; Bruce T. Smyth","$69.95","Ringbound Edition","","978-0735518513","0735518513","","","Aspen Law & Business Publishers; Ringbound edition (December 2000)","","","","","English","10 x 8.6 x 3.3 inches","3.5 pounds"
"2251","Software and Internet Law, Third Edition","Mark A. Lemley; Peter S. Menell; Mark A. Lemley; Robert P. Merges; Peter S. Menell; Pamela Samuelson","$6.79 - $102.00","3rd Edition","","978-0735558649","0735558647","","","Aspen Publishers; 3 edition (July 13, 2006)","","","","","English","7.2 x 1.8 x 10.2 inches","3 pounds (View shipping rates and policies)"
"2252","IT Project Management Essentials, 2008 Edition","Larry Webber; Frederick Webber; Larry Webber","$0.00","2008th Edition","","978-0735566330","073556633X","","","Aspen Publishers, Inc.; 2008 edition (November 20, 2007)","","","","","English","9.8 x 6.9 x 1.1 inches","2.3 pounds"
"2253","IT Governance Policies and Procedures, 2008 Edition (IT Governance Policies & Procedures)","Michael Wallace & Larry Webber","$1.53","2008th Edition","","978-0735566347","0735566348","789 pages","IT Governance Policies & Procedures","Aspen Publishers, Inc.; 2008 edition (September 12, 2007)","","","","","English","10 x 7 x 1.7 inches","3.2 pounds"
"2254","Law Office Technology (Aspen College)","George E. Guay","$107.96","Pap/Psc Edition","","","","","","","","","","","","",""
"2255","Cyberspace Law: Cases & Materials, Third Edition","Raymond S. R. Ku; Jacqueline D. Lipton","$176.80","3rd Edition","","978-0735589339","073558933X","","","Aspen Publishers; 3 edition (March 4, 2010)","","","","","English","7.2 x 1.5 x 10.2 inches","3.5 pounds (View shipping rates and policies)"
"2256","Understanding COM+ (Developer Technology)","David S. Platt","$0.03","","","978-0735606661","0735606668","300 pages","Developer Technology","Microsoft Press (July 8, 1999)","","","","","English","7 x 0.8 x 9 inches","1 pounds"
"2257","After the Gold Rush: Creating a True Profession of Software Engineering (DV-Best Practices)","Steve McConnell","$0.01","","","978-0735608771","0735608776","182 pages","DV-Best Practices","Microsoft Press; 1st THUS edition (November 1, 1999)","","","","","English","7.4 x 0.7 x 9.2 inches","1.3 pounds"
"2258","Designing Solutions with COM+ Technologies (Developer Reference)","Microsoft Corporation","$32.89"," ","","978-0735611276","0735611270","928 pages","Developer Reference","Microsoft Press (December 29, 2000)","","","","","English","7.3 x 1.6 x 9.2 inches","3.2 pounds"
"2259","Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","$17.69","","","","","","","","","","","","","",""
"2260","Microsoft® Combat Flight Simulator 2: WW II Pacific Theater: Inside Moves (EU-Inside Moves)","Jeffrey A. Van West","$0.01","","","978-0735611764","0735611769","336 pages","EU-Inside Moves","Microsoft Press; 1 edition (November 11, 2000)","","","","","English","7.4 x 1 x 9.2 inches","1.5 pounds"
"2261","Microsoft® Office XP Step by Step","Perspection Inc.; Online Training Solutions; Perspection Inc.; Curtis Frye D.; Online Training Solutions; Kristen Crupi; Curtis Frye D.","$7.49 - $44.99"," ","","978-0735612945","0735612943","784 pages","Step by Step","Microsoft Press (July 18, 2001)","","","","","English","7.4 x 1.8 x 9.2 inches","4 pounds (View shipping rates and policies)"
"2262","Microsoft® Project Version 2002 Step by Step","Carl Chatfield; Timothy Johnson D.; Carl Chatfield","$5.99"," ","","978-0735613010","073561301X","480 pages","Step by Step","Microsoft Press (June 19, 2002)","","","","","English","7.4 x 1.2 x 9.2 inches","2.1 pounds"
"2263","Microsoft® Computer Dictionary","Microsoft Press","$0.00","5th ed. Edition","","978-0735614956","0735614954","652 pages","Microsoft Computer Dictionary","Microsoft Press; 5th ed. edition (March 22, 2002)","","","","","English","7.6 x 1.5 x 9.3 inches","2.9 pounds"
"2264","Microsoft® Windows® 2000 Administrator's Pocket Consultant (Pocket Administrator)","William R. Stanek","$4.40","2nd ed. Edition","","978-0735617926","0735617929","560 pages","Pocket Administrator","Microsoft Press; 2nd ed. edition (September 14, 2002)","","","","","English","5.6 x 1.4 x 8 inches","1.6 pounds"
"2265","Programming the Microsoft Windows Driver Model (2nd Edition) (Developer Reference)","Walter Oney","$0.00","2nd Edition","","978-0735618039","0735618038","880 pages","Developer Reference","Microsoft Press; 2nd edition (December 26, 2002)","","","","","English","7.4 x 1.5 x 9 inches","2.8 pounds"
"2266","Smart Client Architecture and Design Guide (Patterns & Practices)","Microsoft Corporation","$11.33","1st Edition","","978-0735618534","0735618534","224 pages","Patterns & Practices","Microsoft Press; 1 edition (September 22, 2004)","","","","","English","7.4 x 0.7 x 9 inches","1 pounds"
"2267","Tablet PC Quick Reference","Jeff Van West","$0.01","1st Edition","","978-0735618633","0735618631","288 pages","","Microsoft Press; 1 edition (November 13, 2002)","","","","","English","7.4 x 0.9 x 9 inches","1.3 pounds"
"2268","Software Requirements 2","Karl Wiegers","$6.25","2nd Edition","","978-0735618794","0735618798","544 pages","","Microsoft Press; 2 edition (March 26, 2003)","","","","","English","7.5 x 1.5 x 9 inches","2.3 pounds"
"2269","Microsoft® SharePoint®  Products and Technologies Resource Kit (Pro-Resource Kit)","Bill English; Microsoft SharePoint Team","$4.00","1st Edition","","978-0735618817","073561881X","1216 pages","Pro-Resource Kit","Microsoft Press; 1 edition (July 7, 2004)","","","","","English","7.4 x 2.1 x 9 inches","3.9 pounds"
"2270","Microsoft® Excel Data Analysis and Business Modeling (Business Skills)","Wayne L. Winston Ph.D.; Wayne Winston; Wayne L. Winston Ph.D.","$9.43","PAP/CDR Edition","","978-0735619012","0735619018","624 pages","Business Skills","Microsoft Press; PAP/CDR edition (February 25, 2004)","","","","","English","7.3 x 1.5 x 9.1 inches","2.7 pounds"
"2271","Building Microsoft® ASP.NET Applications for Mobile Devices (Developer Reference)","Andy Wigley; Peter Roxburgh","$28.19","2nd Edition","","978-0735619142","073561914X","720 pages","Developer Reference","Microsoft Press; 2nd edition (May 14, 2003)","","","","","English","7.4 x 1.8 x 9 inches","3.1 pounds"
"2272","Microsoft Windows Internals (4th Edition): Microsoft Windows Server 2003, Windows XP, and Windows 2000","Mark E. Russinovich; David Solomon; David A. Solomon","$7.33","4th 8. Uberarb. Aufl. 2004 ed. Edition","","978-0735619173","0735619174","","","Microsoft Press; 4th 8. Uberarb. Aufl. 2004 ed. edition (January 5, 2005)","","","","","English","7.4 x 1.9 x 9 inches","3.5 pounds"
"2273","Code Complete: A Practical Handbook of Software Construction, Second Edition","Steve McConnell","$19.11","2nd Edition","","978-0735619678","0735619670","960 pages","","Microsoft Press; 2nd edition (June 19, 2004)","","","","","English","7.3 x 2.2 x 8.9 inches","2.8 pounds (View shipping rates and policies)"
"2274","Microsoft® Windows® Scripting Self-Paced Learning Guide","Ed Wilson","$0.00"," ","","978-0735619814","0735619816","416 pages","","Microsoft Press (May 4, 2004)","","","","","English","7.3 x 1.3 x 9.3 inches","1.9 pounds"
"2275","Threat Modeling (Microsoft Professional)","Frank Swiderski; Window Snyder","$11.70","1st Edition","","978-0735619913","0735619913","288 pages","Microsoft Professional","Microsoft Press; 1 edition (July 14, 2004)","","","","","English","7.3 x 0.9 x 9 inches","12 ounces"
"2276","Agile Project Management with Scrum (Developer Best Practices)","Ken Schwaber","$17.27","1st Edition","","978-0735619937","073561993X","192 pages","Developer Best Practices","Microsoft Press; 1 edition (February 21, 2004)","","","","","English","7.3 x 0.6 x 8.9 inches","0.3 ounces (View shipping rates and policies)"
"2277","Programming Microsoft® Windows® Forms (Developer Reference)","Charles Petzold","$0.00","2005 ed. Edition","","978-0735621534","0735621535","400 pages","Developer Reference","Microsoft Press; 2005 ed. edition (November 30, 2005)","","","","","English","7.4 x 1.2 x 9 inches","1.4 pounds"
"2278","Microsoft® Windows® Security Resource Kit","Ben Smith; Brian Komar","$1.52","2nd Edition","","978-0735621749","0735621748","752 pages","Resource Kit","Microsoft Press; 2nd edition (April 27, 2005)","","","","","English","7.4 x 1.9 x 9 inches","3.2 pounds"
"2279","Microsoft® Windows® Group Policy Guide","Darren Mar-Elia; Derek Melber; William R. Stanek; The Microsoft Group Policy Team","$1.93","1st Edition","","978-0735622173","0735622175","800 pages","","Microsoft Press; 1 edition (June 22, 2005)","","","","","English","7.4 x 1.9 x 9.2 inches","3.4 pounds"
"2280","Windows Vista Resource Kit","Mitch Tulloch; Tony Northrup; Jerry Honeycutt; Ed Wilson; Ralph Ramos; Ed Wilson; The Windows Vista Team; Ralph Ramos","$32.95 - $59.99"," ","","978-0735622838","0735622833","1568 pages","Resource Kit","Microsoft Press (April 8, 2007)","","","","","English","7.4 x 2.6 x 8.9 inches","5.2 pounds (View shipping rates and policies)"
"2281","Microsoft® Solutions Framework Essentials: Building Successful Technology Solutions (Developer Reference)","Michael S. V. Turner; Michael Turner","$0.78","","","978-0735623538","0735623538","342 pages","Developer Reference","Microsoft Press; 1 edition (September 1, 2006)","","","","","English","7.4 x 1 x 9 inches","1.4 pounds"
"2282","Inside Microsoft Exchange Server 2007 Web Services","David Sterling; Michael Mainer; David Sterling; Ben Spain; Michael Mainer; Mark Taylor; Ben Spain; Huw Upshall; Mark Taylor","$12.66","1st Edition","","978-0735623927","0735623929","928 pages","","Microsoft Press; 1 edition (December 5, 2007)","","","","","English","7.4 x 1.6 x 9 inches","2.7 pounds"
"2283","MCITP Self-Paced Training Kit (Exam 70-237): Designing Messaging Solutions with Microsoft® Exchange Server 2007","Paul Mancuso; David R. Miller; Sam Sena","$5.52 - $69.99","1st Edition","","978-0735624092","0735624097","736 pages","","Microsoft Press; 1 edition (September 27, 2008)","","","","","English","7.4 x 2 x 9 inches","3.4 pounds (View shipping rates and policies)"
"2284","MCITP Self-Paced Training Kit (Exam 70-238): Deploying Messaging Solutions with Microsoft Exchange Server 2007","Nelson Ruest; Danielle Ruest; GrandMasters","$0.16 - $69.99","1st Edition","","978-0735624115","0735624119","752 pages","","Microsoft Press; 1 edition (May 10, 2008)","","","","","English","7.3 x 2 x 9 inches","3.3 pounds (View shipping rates and policies)"
