ID,Title,Author,Price,Edition,ASIN,ISBN-13,ISBN-10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight,,,,,
4201,Physical Unclonable Functions in Theory and Practice,Christoph Böhm# Maximilian Hofer,$75.00 - $149.00,2013th Edition,,978-1461450399,146145039X,,,Springer,Springer,,,English,9.2 x 6.1 x 0.9 inches,1.2 pounds (View shipping rates and policies),,,,,
4202,Emotion Recognition using Speech Features ,K. Sreenivasa Rao# Shashidhar G. Koolagudi,$29.99 ,2013th Edition,,978-1461451426,1461451426,124 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.3 x 9.2 inches,7 ounces (View shipping rates and policies),,,,,
4203,Introduction to Queueing Systems with Telecommunication Applications,Laszlo Lakatos# Laszlo Szeidl# Laszlo Lakatos# Miklos Telek# Laszlo Szeidl,$25.99 ,2013th Edition,,978-1461453161,146145316X,,,Springer,Springer,,,English,9.2 x 6.1 x 0.9 inches,1.6 pounds (View shipping rates and policies),,,,,
4204,Requirements Engineering and Management for Software Development Projects,Murali Chemuturi,$43.48 ,2013th Edition,,978-1461453765,1461453763,,,Springer,Springer,,,English,9.2 x 6.1 x 0.7 inches,1.1 pounds (View shipping rates and policies),,,,,
4205,Fast Compact Algorithms and Software for Spline Smoothing ,Howard L. Weinert,$29.99 ,2013th Edition,,978-1461454953,1461454956,45 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.1 x 9.3 inches,5 ounces (View shipping rates and policies),,,,,
4206,Designing TSVs for 3D Integrated Circuits ,Nauman Khan# Soha Hassoun,$29.99 ,2013th Edition,,978-1461455073,1461455073,84 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,6.7 ounces (View shipping rates and policies),,,,,
4207,Automatic Malware Analysis: An Emulator Based Approach ,Heng Yin# Dawn Song,$29.99 ,2013th Edition,,978-1461455226,1461455227,73 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,4.8 ounces (View shipping rates and policies),,,,,
4208,"Service-Oriented Crowdsourcing: Architecture, Protocols and Algorithms ",Daniel Schall,$39.95 ,2012th Edition,,978-1461459552,1461459559,94 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,6.4 ounces (View shipping rates and policies),,,,,
4209,Sparse Representations and Compressive Sensing for Imaging and Vision ,Vishal M. Patel# Ramalingam Chellappa,$29.99 ,2013th Edition,,978-1461463801,1461463807,102 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.3 x 9.2 inches,8.2 ounces (View shipping rates and policies),,,,,
4210,Physical Layer Approaches for Securing Wireless Communication Systems ,Hong Wen,$29.99 ,2013th Edition,,978-1461465096,1461465095,83 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,5.6 ounces (View shipping rates and policies),,,,,
4211,Encyclopedia of Terminology for Educational Communications and Technology,Rita C Richey,$159.99 ,2013th Edition,,978-1461465720,1461465729,,,Springer,Springer,,,English,6.1 x 0.9 x 9.2 inches,1.4 pounds (View shipping rates and policies),,,,,
4212,Nonlinear Optimization Applications Using the GAMS Technology ,Neculai Andrei,$109.99 ,2013th Edition,,978-1461467960,1461467969,,Springer Optimization and Its Applications (Book 81),Springer,Springer,,,English,9.2 x 6.1 x 1 inches,1.6 pounds (View shipping rates and policies),,,,,
4213,Trust for Intelligent Recommendation ,Touhid Bhuiyan,$31.16 ,2013th Edition,,978-1461468943,1461468949,119 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.3 x 9.2 inches,8.8 ounces (View shipping rates and policies),,,,,
4214,Transportation and Information: Trends in Technology and Policy ,Piyushimita Vonu Thakuriah# D. Glenn Geers,$37.99 ,2013th Edition,,978-1461471288,1461471281,127 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.3 x 9.2 inches,9.6 ounces (View shipping rates and policies),,,,,
4215,Security for Wireless Implantable Medical Devices ,Xiali Hei# Xiaojiang Du# Xiali Hei,$29.99 ,2013th Edition,,978-1461471523,1461471524,45 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.1 x 9.2 inches,0.3 ounces (View shipping rates and policies),,,,,
4216,A Survey of Core Research in Information Systems ,Anna Sidorova# Nicholas Evangelopoulos# Anna Sidorova# Russell Torres# Nicholas Evangelopoulos# Johnson Vess# Russell Torres,$31.16 ,2013th Edition,,978-1461471578,1461471575,107 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.3 x 9.2 inches,5.6 ounces (View shipping rates and policies),,,,,
4217,Cloud Computing Basics ,S. Srinivasan,$54.99 ,2014th Edition,,978-1461476986,1461476984,142 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.4 x 9.2 inches,6.4 ounces (View shipping rates and policies),,,,,
4218,Analysis of TCP Performance in Data Center Networks ,Santosh Kulkarni# Prathima Agrawal,$39.99 ,2014th Edition,,978-1461478607,146147860X,87 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,3.2 ounces (View shipping rates and policies),,,,,
4219,XML and Web Technologies for Data Sciences with R ,Deborah Nolan# Duncan Temple Lang# Deborah Nolan,$24.50 ,2014th Edition,,978-1461478997,1461478995,663 pages,Use R! (Book 46),Springer,Springer,,,English,9.9 x 7 x 1.2 inches,2.8 pounds (View shipping rates and policies),,,,,
4220,"Secure Smart Embedded Devices, Platforms and Applications",Konstantinos Markantonakis# Dr. Keith Mayes University of London# Konstantinos Markantonakis,$109.99 ,2014th Edition,,978-1461479147,1461479142,,,Springer,Springer,,,English,6.1 x 1.3 x 9.2 inches,2.3 pounds (View shipping rates and policies),,,,,
4221,Trustworthy Execution on Mobile Devices ,Amit Vasudevan# Jonathan M. McCune# James Newsome,$37.99 ,2014th Edition,,978-1461481898,1461481899,85 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,5.6 ounces (View shipping rates and policies),,,,,
4222,Resource Management for Device-to-Device Underlay Communication ,Lingyang Song# Zhu Han# Chen Xu,$29.99 ,2014th Edition,,978-1461481928,1461481929,79 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,9.2 x 6.1 x 0.2 inches,3.2 ounces (View shipping rates and policies),,,,,
4223,Sensing Technologies For Precision Irrigation ,Dubravko Culibrk# Dejan Vukobratovic# Dubravko Culibrk# Vladan Minic# Dejan Vukobratovic# Marta Alonso Fernandez# Vladan Minic# Javier Alvarez Osuna# Marta Alonso Fernandez# Vladimir Crnojevic# Javier Alvarez Osuna,$20.63 ,2014th Edition,,978-1461483281,146148328X,110 pages,SpringerBriefs in Electrical and Computer Engineering,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,6.4 ounces (View shipping rates and policies),,,,,
4224,Handbook of Medical and Healthcare Technologies ,Borko Furht# Ankur Agarwal# Borko Furht,$109.99 ,2013th Edition,,978-1461484943,1461484944,,Springerlink,Springer,Springer,,,English,6.1 x 1.2 x 9.2 inches,2.1 pounds (View shipping rates and policies),,,,,
4225,Finance with Monte Carlo ,Ronald W. Shonkwiler,$19.50 ,2013th Edition,,978-1461485100,146148510X,,Springer Undergraduate Texts in Mathematics and Technology,Springer,Springer,,,English,10.1 x 7.2 x 0.8 inches,1.8 pounds (View shipping rates and policies),,,,,
4226,Nuclear Cardiology Study Guide: A Technologist's Review for Passing Specialty Certification Exams,Andrzej Moniuszko# B. Adrian Kesala,$29.99 ,2014th Edition,,978-1461486442,1461486440,281 pages,,Springer,Springer,,,English,6.1 x 0.7 x 9.2 inches,1.2 pounds (View shipping rates and policies),,,,,
4227,Modern Accelerator Technologies for Geographic Information Science,Xuan Shi# Volodymyr Kindratenko# Xuan Shi# Chaowei Yang# Volodymyr Kindratenko,$103.55 ,2013th Edition,,978-1461487449,1461487447,,,Springer,Springer,,,English,9.2 x 6.1 x 0.6 inches,1.2 pounds (View shipping rates and policies),,,,,
4228,Security and Privacy in Mobile Social Networks ,Xiaohui Liang# Rongxing Lu# Xiaodong Lin# Xuemin (Sherman) Shen,$39.99 ,2013th Edition,,978-1461488569,1461488567,100 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,6.4 ounces (View shipping rates and policies),,,,,
4229,Productive Multivocality in the Analysis of Group Interactions ,Daniel D. Suthers# Kristine Lund# Daniel D. Suthers# Carolyn Penstein Rosé# Kristine Lund# Chris Teplovs# Carolyn Penstein Rosé# Nancy Law# Chris Teplovs,$229.00 ,2013th Edition,,978-1461489597,1461489598,,Computer-Supported Collaborative Learning Series (Book 15),Springer,Springer,,,English,9.2 x 6.1 x 1.6 inches,3.2 pounds (View shipping rates and policies),,,,,
4230,"Distributed Hash Table: Theory, Platforms and Applications ",Hao Zhang# Yonggang Wen# Haiyong Xie# Nenghai Yu,$23.92 ,2013th Edition,,978-1461490074,1461490073,67 pages,SpringerBriefs in Computer Science,Springer,Springer,,,English,6.1 x 0.2 x 9.2 inches,6.1 ounces (View shipping rates and policies),,,,,
4231,"The Next Wave in Computing, Optimization, and Decision Technologies ",Bruce L. Golden# S. Raghavan# Bruce L. Golden# Edward A. Wasil# S. Raghavan,$217.55 ,2005th Edition,,978-1461498513,1461498511,396 pages,Operations Research/Computer Science Interfaces Series (Book 29),Springer,Springer,,,English,6.1 x 0.9 x 9.2 inches,1.4 pounds (View shipping rates and policies),,,,,
4232,"Screen-Smart Parenting: How to Find Balance and Benefit in Your Child's Use of Social Media, Apps, and Digital Devices",Jodi Gold# Tory Burch,$12.30 ,,,,,,,,,,,,,,,,,,
4233,VMware vSphere 5 Clustering Technical Deepdive,Duncan Epping# Frank Denneman,$3.49 ,1st Edition,,978-1463658137,1463658133,348 pages,,CreateSpace Independent Publishing Platform,CreateSpace Independent Publishing Platform,,,English,5.5 x 0.8 x 8.5 inches,1.2 pounds (View shipping rates and policies),,,,,
4234,Super Charge Your Data Warehouse: Invaluable Data Modeling Rules to Implement Your Data Vault,Dan Linstedt# Kent Graziano,$57.92 ,,,,,,,,,,,,,,,,,,
4235,Computer Aided Design with Unigraphics NX7.5: Engineering Design in Computer Integrated Design and Manufacturing,LEE  H FELIX# FULTON  DAVID# LEE  H FELIX,$0.00 ,8th Edition,,978-1465200266,1465200266,,,Kendall Hunt Publishing,Kendall Hunt Publishing,,,English,1.5 x 8.5 x 10.8 inches,3 pounds,,,,,
4236,DK Workbooks: Computer Coding,DK,$5.99 ,,,,,,,,,,,,,,,,,,
4237,SAP SRM 7.0  Associate Certification Exam: Questions with Answers & Explanations,P Mueller# N Thind,$59.63 ,,,,,,,,,,,,,,,,,,
4238,SAP Certified Technology Associate - System Administration with SAP NetWeaver 7.0,Christopher B# S Kaur# Christopher B,$58.88 ,,,,,,,,,,,,,,,,,,
4239,A Comprehensive Guide to Video Game Design Schools,Joseph Madden MA,$17.28 ,,,,,,,,,,,,,,,,,,
4240,LTE-Advanced Air Interface Technology,Xincheng Zhang# Xiaojin Zhou,$47.86 - $99.71,0th Edition,,978-1466501522,1466501529,,,CRC Press ,CRC Press,,,English,6.1 x 1.1 x 9.2 inches,2.1 pounds (View shipping rates and policies),,,,,
4241,The PMP® Certification Exam Study Guide,Rosaldo de Jesus Nocêra,$31.61 - $83.55,Pap/Com Edition,,978-1466503830,1466503831,736 pages,,Auerbach Publications,Auerbach Publications,,,English,1.5 x 8.8 x 11.2 inches,4 pounds (View shipping rates and policies),,,,,
4242,Computer Systems Experiences of Users with and Without Disabilities: An Evaluation Guide for Professionals ,Simone Borsci# Masaaki Kurosu# Simone Borsci# Stefano Federici# Masaaki Kurosu# Maria Laura Mele# Stefano Federici,$56.86 - $118.46,1st Edition,,978-1466511132,1466511133,,Rehabilitation Science in Practice Series,CRC Press,CRC Press,,,English,9.3 x 6.3 x 0.9 inches,1.3 pounds (View shipping rates and policies),,,,,
4243,Technology Computer Aided Design: Simulation for VLSI MOSFET,Chandan Kumar Sarkar,$40.64 - $125.96, ,,978-1466512658,1466512652,,,CRC Press ,CRC Press,,,English,1 x 6.5 x 9.5 inches,1.8 pounds (View shipping rates and policies),,,,,
4244,The Art of Linux Kernel Design: Illustrating the Operating System Design Principle and Implementation,Lixiang Yang,$37.48 - $55.96,1st Edition,,978-1466518032,1466518030,534 pages,,Auerbach Publications,Auerbach Publications,,,English,9.1 x 7.5 x 1.1 inches,1.8 pounds (View shipping rates and policies),,,,,
4245,Advanced Location-Based Technologies and Services,Hassan A. Karimi,$47.86 - $99.71,0th Edition,,978-1466518186,1466518189,,,CRC Press ,CRC Press,,,English,1 x 6.2 x 9.2 inches,1.5 pounds (View shipping rates and policies),,,,,
4246,Computer Access for People with Disabilities: A Human Factors Approach ,Richard C. Simpson,$56.03 - $104.95,1st Edition,,978-1466553712,1466553715,,Rehabilitation Science in Practice Series,CRC Press,CRC Press,,,English,0.8 x 6.2 x 9.2 inches,1.4 pounds (View shipping rates and policies),,,,,
4247,"Machine-to-Machine Communications: Architectures, Technology, Standards, and Applications",Vojislav B. Misic# Jelena Misic# Vojislav B. Misic,$43.01 - $95.96, ,,978-1466561236,1466561238,,,CRC Press ,CRC Press,,,English,9.2 x 6.2 x 1 inches,1.3 pounds (View shipping rates and policies),,,,,
4248,Game AI Pro: Collected Wisdom of Game AI Professionals,Steven Rabin,$67.38 ,,,,,,,,,,,,,,,,,,
4249,Honoring the Code: Conversations with Great Game Designers,Matt Barton,$40.34 ,,,,,,,,,,,,,,,,,,
4250,Information Technology: An Introduction for Today's Digital World,Richard Fox,$23.01 - $63.96,1st Edition,,978-1466568280,1466568283,564 pages,,Chapman and Hall/CRC,Chapman and Hall/CRC,,,English,9.9 x 7 x 1.3 inches,2.2 pounds (View shipping rates and policies),,,,,
4251,Computer-Aided Control Systems Design: Practical Applications Using MATLAB® and Simulink®,Cheng Siong Chin,$50.38 - $104.96, ,,978-1466568518,1466568518,,,CRC Press ,CRC Press,,,English,1 x 6.2 x 9.2 inches,1.4 pounds (View shipping rates and policies),,,,,
4252,Self-Regulation in Activity Theory: Applied Work Design for Human-Computer and Human-Machine Systems ,Gregory Z. Bedny# Waldemar Karwowski# Gregory Z. Bedny# Inna Bedny,$212.67 - $239.95,Pck Edition,,978-1466569331,1466569336,,Ergonomics Design and Management,CRC Press,CRC Press,,,English,2 x 6.5 x 9.5 inches,3.2 pounds (View shipping rates and policies),,,,,
4253,Handbook of Sensor Networking: Advanced Technologies and Applications,John R. Vacca,$58.68 - $72.35, ,,978-1466569713,1466569719,,,Chapman and Hall/CRC ,Chapman and Hall/CRC,,,English,1 x 7.2 x 10.5 inches,2 pounds (View shipping rates and policies),,,,,
4254,Terahertz Biomedical Science and Technology,Joo-Hiuk Son,$53.98 - $112.46,1st Edition,,978-1466570443,146657044X,,,CRC Press,CRC Press,,,English,10.1 x 7 x 1 inches,1.8 pounds (View shipping rates and policies),,,,,
4255,Introduction to Computer Networks and Cybersecurity,Chwan-Hwa (John) Wu# J. David Irwin# Chwan-Hwa (John) Wu,$34.51 - $106.36,1st Edition,,978-1466572133,1466572132,,,CRC Press,CRC Press,,,English,2 x 9 x 11 inches,7.9 pounds (View shipping rates and policies),,,,,
4256,Explorations in Computing: An Introduction to Computer Science and Python Programming ,John S. Conery,$23.01 - $63.96,1st Edition,,978-1466572447,1466572442,,Chapman & Hall/CRC Textbooks in Computing (Book 13),Chapman and Hall/CRC,Chapman and Hall/CRC,,,English,10 x 7 x 1.2 inches,2.4 pounds (View shipping rates and policies),,,,,
4257,Data Privacy for the Smart Grid,Rebecca Herold# Christine Hertzog,$28.76 - $63.96,1st Edition,,978-1466573376,1466573376,,,Auerbach Publications,Auerbach Publications,,,English,9.2 x 6.2 x 0.8 inches,1 pounds (View shipping rates and policies),,,,,
4258,"Information Security Policy Development for Compliance: ISO/IEC 27001, NIST SP 800-53, HIPAA Standard, PCI DSS V2.0, and AUP V5.0",Barry L. Williams,$32.18 - $59.95, ,,978-1466580589,1466580585,,,Auerbach Publications ,Auerbach Publications,,,English,8.8 x 6 x 0.6 inches,12.6 ounces (View shipping rates and policies),,,,,
4259,"Practical Algorithms for 3D Computer Graphics, Second Edition",R. Stuart Ferguson,$37.00 - $67.16,2nd Edition,1466582529,978-1466582521,1926692640,520 pages,,A K Peters/CRC Press,A K Peters/CRC Press,,,English,1 x 7.5 x 9.2 inches,1.9 pounds (View shipping rates and policies),,,,,
4260,Responsive Security: Be Ready to Be Secure,Meng-Chow Kang,$52.46 , ,,978-1466584303,1466584300,259 pages,,CRC Press ,CRC Press,,,English,0.5 x 5 x 8 inches,10.6 ounces (View shipping rates and policies),,,,,
4261,"Computer Organization, Design, and Architecture, Fifth Edition",Sajjan G. Shiva,$28.71 - $99.95,5th Edition,,978-1466585546,1466585544,,,CRC Press,CRC Press,,,English,1.5 x 7.2 x 10 inches,2.9 pounds (View shipping rates and policies),,,,,
4262,Learning C# Programming with Unity 3D,Alex Okita,$43.00 ,,,,,,,,,,,,,,,,,,
4263,"Security without Obscurity: A Guide to Confidentiality, Authentication, and Integrity",J.J. Stapleton,$42.78 - $79.95, ,,978-1466592148,1466592141,,,Auerbach Publications ,Auerbach Publications,,,English,9.1 x 6.1 x 1.1 inches,1.4 pounds (View shipping rates and policies),,,,,
4264,"Biometric Technology: Authentication, Biocryptography, and Cloud-Based Architecture",Ravi Das,$25.19 - $53.33,1st Edition,,978-1466592452,1466592451,,,CRC Press,CRC Press,,,English,9.4 x 6.3 x 0.9 inches,1.6 pounds (View shipping rates and policies),,,,,
4265,CoCo: The Colorful History of Tandy's Underdog Computer,Boisy G Pitre# Bill Loguidice,$31.88 , ,,978-1466592476,1466592478,203 pages,,CRC Press ,CRC Press,,,English,0.5 x 6 x 9 inches,12.8 ounces (View shipping rates and policies),,,,,
4266,Mobile Devices: Tools and Technologies,Lauren Collins# Scott R. Ellis,$32.32 - $57.98, ,,978-1466594166,1466594160,,,Chapman and Hall/CRC ,Chapman and Hall/CRC,,,English,9.2 x 6.2 x 0.9 inches,1.4 pounds (View shipping rates and policies),,,,,
4267,Geographical Information Systems: Trends and Technologies,Elaheh Pourabbas,$79.88 - $149.95, ,,978-1466596931,1466596937,,,CRC Press ,CRC Press,,,English,9.1 x 6.1 x 1 inches,1.2 pounds (View shipping rates and policies),,,,,
4268,"The Art of Game Design: A Book of Lenses, Second Edition",Jesse Schell,$51.96 ,2nd Edition,,978-1466598645,1466598646,600 pages,,A K Peters/CRC Press,A K Peters/CRC Press,,,English,1.2 x 8 x 9.5 inches,2.2 pounds (View shipping rates and policies),,,,,
4269,GIS for Critical Infrastructure Protection,Robert F. Austin# David P. DiSera# Robert F. Austin# Talbot J. Brooks# David P. DiSera,$108.74 , ,,978-1466599345,1466599340,,,CRC Press ,CRC Press,,,English,9.2 x 6.2 x 0.8 inches,13.6 ounces (View shipping rates and policies),,,,,
4270,"Disruptive Technologies, Innovation and Global Redesign: Emerging Implications",Ndubuisi Ekekwe# Nazrul Islam# Ndubuisi Ekekwe,$180.00 ,1st Edition,,978-1466601345,1466601345,,,IGI Global,IGI Global,,,English,8.5 x 1.3 x 11 inches,3.5 pounds (View shipping rates and policies),,,,,
4271,Robots in K-12 Education: A New Technology for Learning ,Bradley S. Barker# Gwen Nugent# Bradley S. Barker# Neal Grandgenett# Gwen Nugent# Viacheslav I. Adamchuk# Neal Grandgenett,$175.00 ,1st Edition,,978-1466601826,1466601825,,Premier Reference Source,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,3.7 pounds (View shipping rates and policies),,,,,
4272,"Emergent Trends in Personal, Mobile, and Handheld Computing Technologies",Wen-Chen Hu,$190.00 ,1st Edition,,978-1466609211,1466609214,,,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.8 pounds (View shipping rates and policies),,,,,
4273,Systems Thinking and Process Dynamics for Marketing Systems: Technologies and Applications for Decision Management,Rajagopal,$185.00 ,1st Edition,,978-1466609693,1466609699,,,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.4 pounds (View shipping rates and policies),,,,,
4274,Algorithmic and Architectural Gaming Design: Implementation and Development,Ashok Kumar# Jim Etheredge# Ashok Kumar# Aaron Boudreaux# Jim Etheredge,$190.00 ,,,,,,,,,,,,,,,,,,
4275,Social and Professional Applications of Actor-Network Theory for Technology Development,Arthur Tatnall,$155.93 - $175.00,1st Edition,,978-1466621664,1466621664,,,IGI Global,IGI Global,,,English,8.5 x 0.7 x 11 inches,1.9 pounds (View shipping rates and policies),,,,,
4276,"Immersive Environments, Augmented Realities, and Virtual Worlds: Assessing Future Trends in Education",Steven DAgustino,$165.38 - $175.00,1st Edition,,978-1466626706,1466626704,,,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.4 pounds (View shipping rates and policies),,,,,
4277,Ethical Governance of Emerging Technologies Development,Fernand Doridot# Penny Duquenoy# Fernand Doridot# Philippe Goujon# Penny Duquenoy# Aygen Kurt# Philippe Goujon# Sylvain Lavelle# Aygen Kurt# Norberto Patrignani# Sylvain Lavelle# Stephen Rainey# Norberto Patrignani# Alessia Santuccio# Stephen Rainey,$195.00 ,1st Edition,,978-1466636705,146663670X,,,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.6 pounds (View shipping rates and policies),,,,,
4278,Human Behavior Recognition Technologies: Intelligent Applications for Monitoring and Security,Hans W. Guesgen# Stephen Marsland# Hans W. Guesgen,$174.83 - $195.00, ,,978-1466636828,1466636823,,,Information Science Reference ,Information Science Reference,,,English,8.5 x 0.9 x 11 inches,2.2 pounds (View shipping rates and policies),,,,,
4279,Social Network Engineering for Secure Web Data and Services,Luca Caviglione# Mauro Coccoli# Luca Caviglione# Alessio Merlo# Mauro Coccoli,$99.95 - $195.00,1st Edition,,978-1466639263,1466639261,,,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.2 pounds (View shipping rates and policies),,,,,
4280,Evolution and Standardization of Mobile Communications Technology ,DongBack Seo,$195.00 ,1st Edition,,978-1466640740,146664074X,,Advances in It Standards and Standardization Research (Aitss,IGI Global,IGI Global,,,English,8.5 x 0.6 x 11 inches,1.8 pounds (View shipping rates and policies),,,,,
4281,Evolution of Cognitive Networks and Self-Adaptive Communication Systems ,Thomas D. Lagkas,$195.00 ,1st Edition,,978-1466641891,1466641894,,Advances in Wireless Technologies and Telecommunication,IGI Global,IGI Global,,,English,8.5 x 1 x 11 inches,2.8 pounds (View shipping rates and policies),,,,,
4282,"Advanced Research and Trends in New Technologies, Software, Human-Computer Interaction, and Communicability ",Francisco Vicente Cipolla-Ficarra,$97.50 - $245.00,1st Edition,,978-1466644908,1466644907,,Advances in Human and Social Aspects of Technology (Ahsat) B,IGI Global,IGI Global,,,English,8.5 x 1.5 x 11 inches,4.2 pounds (View shipping rates and policies),,,,,
4283,Gender Divide and the Computer Game Industry ,Julie Prescott# Jan Bogg,$134.50 - $175.00,1st Edition,,978-1466645349,1466645342,,Premier Reference Source,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.2 pounds (View shipping rates and policies),,,,,
4284,Emerging Research and Trends in Interactivity and the Human-Computer Interface ,Katherine Blashki# Pedro Isaias# Katherine Blashki,$93.54 - $175.00,1st Edition,,978-1466646230,1466646233,,Advances in Human and Social Aspects of Technology Series,IGI Global,IGI Global,,,English,8.5 x 1.2 x 11 inches,3.7 pounds (View shipping rates and policies),,,,,
4285,Pervasive Cloud Computing Technologies: Future Outlooks and Interdisciplinary Perspectives ,Lucio Grandinetti# Ornella Pisacane# Mehdi Sheikhalishahi# Ornella Pisacane,$180.00 - $190.00,1st Edition,,978-1466646834,1466646837,,"Advances in Systems Analysis, Software Engineering, and High Performance Computing",IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.3 pounds (View shipping rates and policies),,,,,
4286,"Big Data Management, Technologies, and Applications ",Wen-Chen Hu# Naima Kaabouch,$175.00 ,1st Edition,,978-1466646995,1466646993,,Advances in Data Mining and Database Management,IGI Global,IGI Global,,,English,8.5 x 1.1 x 11 inches,3.2 pounds (View shipping rates and policies),,,,,
4287,Mobile Networks and Cloud Computing Convergence for Progressive Services and Applications ,Joel J.P.C. Rodrigues# Kai Lin# Jaime Lloret# Kai Lin,$28.68 - $180.00,1st Edition,,978-1466647817,1466647817,,Advances in Wireless Technologies and Telecommunication,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.8 pounds (View shipping rates and policies),,,,,
4288,Evaluating Websites and Web Services: Interdisciplinary Perspectives on User Satisfaction ,Denis Yannacopoulos,$203.09 - $215.00,1st Edition,,978-1466651296,1466651296,,Advances in Web Technologies and Engineering (Awte) Book,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.5 pounds (View shipping rates and policies),,,,,
4289,Nuclear Power Plant Instrumentation and Control Systems for Safety and Security ,Michael Yastrebenetsky# Vyacheslav Kharchenko# Michael Yastrebenetsky,$265.00 ,1st Edition,,978-1466651333,1466651334,,Advances in Environmental Engineering and Green Technologies,IGI Global,IGI Global,,,English,8.5 x 1 x 11 inches,3 pounds (View shipping rates and policies),,,,,
4290,Learning in Metaverses: Co-Existing in Real Virtuality,Eliane Schlemmer,$180.00 ,1st Edition,,978-1466663510,1466663510,,,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.6 pounds (View shipping rates and policies),,,,,
4291,"Technology, Innovation, and Enterprise Transformation",Manish Wadhwa# Alan Harper# Manish Wadhwa,$195.00 ,1st Edition,,978-1466664739,1466664738,,,IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.7 pounds (View shipping rates and policies),,,,,
4292,Computer-Mediated Marketing Strategies: Social Media and Online Brand Communities ,Gordon Bowen# Wilson Ozuem# Gordon Bowen,$120.10 - $195.00,1st Edition,,978-1466665958,1466665955,,"Advances in Marketing, Customer Relationship Management, and E-Services",IGI Global,IGI Global,,,English,8.5 x 0.9 x 11 inches,2.7 pounds (View shipping rates and policies),,,,,
4293,Implementation and Critical Assessment of the Flipped Classroom Experience ,Abigail G. Scheg,$104.75 - $175.00,1st Edition,,978-1466674646,1466674644,,Advances in Educational Technologies and Instructional Design,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.2 pounds (View shipping rates and policies),,,,,
4294,Psychological and Pedagogical Considerations in Digital Textbook Use and Development ,Elena Railean,$87.94 - $175.00,1st Edition,,978-1466683006,1466683007,,Advances in Educational Technologies and Instructional Design,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.5 pounds (View shipping rates and policies),,,,,
4295,"Emerging Perspectives on the Design, Use, and Evaluation of Mobile and Handheld Devices ",Joanna Lumsden,$205.00 ,1st Edition,,978-1466685833,1466685832,,Advances in Wireless Technologies and Telecommunication,IGI Global,IGI Global,,,English,8.5 x 0.8 x 11 inches,2.6 pounds (View shipping rates and policies),,,,,
4296,Handbook of Research on Next Generation Mobile Communication Systems ,Athanasios D. Panagopoulos,$370.00 ,1st Edition,,978-1466687325,1466687320,,Advances in Wireless Technologies and Telecommunication,IGI Global,IGI Global,,,English,8.5 x 1.4 x 11 inches,1.6 pounds (View shipping rates and policies),,,,,
4297,Emerging Perspectives on the Mobile Content Evolution ,Juan Miguel Aguado,$210.00 ,1st Edition,,978-1466688384,1466688386,,Advances in Multimedia and Interactive Technologies,IGI Global,IGI Global,,,English,11 x 8.5 x 1 inches,1.6 pounds (View shipping rates and policies),,,,,
